"end_lat","end_lng","number_of_members","number_of_casuals","number_of_electric","number_of_classic","number_of_docked","total"
41.76,-87.74,0,3,3,0,0,3
41.76,-87.73,0,1,1,0,0,1
41.76,-87.72,4,9,13,0,0,13
41.76,-87.71,0,4,4,0,0,4
41.76,-87.7,0,4,4,0,0,4
41.76,-87.69,3,12,15,0,0,15
41.76,-87.68,24,34,58,0,0,58
41.76,-87.67,2,22,24,0,0,24
41.76,-87.66,39,34,72,1,0,73
41.76,-87.65,57,41,98,0,0,98
41.76,-87.64,39,25,64,0,0,64
41.76,-87.63,1,16,17,0,0,17
41.76,-87.62,11,18,29,0,0,29
41.76,-87.61,17,39,56,0,0,56
41.76,-87.6,12,19,31,0,0,31
41.76,-87.59,21,32,53,0,0,53
41.76,-87.58,27,58,85,0,0,85
41.76,-87.57,97,56,153,0,0,153
41.76,-87.56,53,86,139,0,0,139
41.76,-87.55,24,20,44,0,0,44
41.761605,-87.644161,0,4,0,0,4,4
41.7616054380439,-87.6441609766607,103,70,106,67,0,173
41.76218896038,-87.55927465,326,215,226,315,0,541
41.762189,-87.559275,0,34,0,0,34,34
41.765286,-87.621748,20,130,60,85,5,150
41.765508,-87.616918,0,8,0,0,8,8
41.76550800581,-87.616917925,28,35,27,36,0,63
41.765719,-87.60496,0,11,0,0,11,11
41.76571903697,-87.604959713,109,138,88,159,0,247
41.766,-87.611726,17,44,29,29,3,61
41.766409,-87.565688,0,79,0,0,79,79
41.7664094567,-87.5656875719,965,591,629,927,0,1556
41.7664703333333,-87.586487,0,1,1,0,0,1
41.7664929373,-87.5864608775,140,260,162,238,0,400
41.766493,-87.586461,0,18,0,0,18,18
41.766501665,-87.586420417,0,1,1,0,0,1
41.766638,-87.57645,0,38,0,0,38,38
41.76663823695,-87.5764501141,300,293,227,366,0,593
41.768898,-87.635876,54,118,53,116,3,172
41.768938,-87.652934,257,77,179,151,4,334
41.76906172032,-87.6446135779,54,59,38,75,0,113
41.769062,-87.644614,0,8,0,0,8,8
41.769293,-87.628196,0,11,0,0,11,11
41.76929308995,-87.6281959291,97,292,189,200,0,389
41.77,-87.8,0,1,1,0,0,1
41.77,-87.79,0,1,1,0,0,1
